,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
98,Duncan Robinson,MIA,28,816,422,79,87,14,3,89,49.2,299,84.8,46,-0.23,-0.18,-1.06,-0.23,-1.26,-0.99,1.58,0.13,0.18
99,Spencer Dinwiddie,BKN,29,924,413,116,192,25,6,59,39.8,339,76.4,110,-0.23,-0.23,-0.55,1.51,-0.10,-0.80,0.48,-1.64,-0.51
100,Ivica Zubac,LAC,30,799,369,278,35,7,42,0,63.5,249,61.6,86,-0.23,-0.49,1.72,-1.10,-2.00,1.40,-1.69,2.11,-1.81
101,Alex Caruso,CHI,26,616,250,90,62,32,20,40,52.7,169,80.0,40,-0.24,-1.20,-0.91,-0.65,0.65,0.05,-0.22,0.45,-0.06
102,Malik Beasley,MIL,29,855,338,125,43,25,4,84,48.4,254,66.7,12,-0.24,-0.67,-0.42,-0.96,-0.10,-0.93,1.40,0.02,-0.23
103,Ausar Thompson,DET,30,786,286,227,69,27,34,9,46.1,256,69.5,59,-0.24,-0.98,1.00,-0.53,0.12,0.91,-1.36,-0.31,-0.75
104,O.G. Anunoby,TOR,26,863,396,104,69,26,13,59,48.6,313,71.7,46,-0.24,-0.33,-0.71,-0.53,0.01,-0.38,0.48,0.03,-0.48
105,Chris Paul,GSW,27,739,224,103,206,34,1,30,39.4,208,88.2,34,-0.24,-1.35,-0.73,1.74,0.86,-1.11,-0.59,-1.01,0.25
106,Darius Garland,CLE,20,680,414,55,118,32,4,36,47.0,321,83.5,91,-0.24,-0.22,-1.40,0.28,0.65,-0.93,-0.37,-0.25,0.28
107,John Collins,UTA,27,802,375,215,21,17,25,39,47.6,294,78.9,71,-0.26,-0.46,0.84,-1.33,-0.94,0.36,-0.26,-0.12,-0.15
108,Patrick Williams,CHI,32,880,318,130,45,29,29,43,44.7,262,75.9,54,-0.26,-0.79,-0.35,-0.93,0.33,0.60,-0.11,-0.53,-0.31
109,CJ McCollum,NOP,18,603,353,72,86,27,15,57,46.0,274,78.6,56,-0.28,-0.59,-1.16,-0.25,0.12,-0.25,0.41,-0.36,-0.15
110,Eric Gordon,PHX,26,833,358,52,70,25,16,69,46.7,291,81.0,21,-0.28,-0.56,-1.44,-0.52,-0.10,-0.19,0.85,-0.26,-0.04
111,Khris Middleton,MIL,26,635,372,120,116,19,3,42,48.7,298,83.3,48,-0.30,-0.47,-0.49,0.25,-0.73,-0.99,-0.15,0.05,0.11
